REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSDOMXX01,2028,52694.444444444445
GLOBAL,LDSDOMXX01,2029,52694.444444444445
GLOBAL,LDSDOMXX01,2030,52694.444444444445
GLOBAL,LDSDOMXX01,2031,52694.444444444445
GLOBAL,LDSDOMXX01,2032,52694.444444444445
GLOBAL,LDSDOMXX01,2033,52694.444444444445
GLOBAL,LDSDOMXX01,2034,52694.444444444445
GLOBAL,LDSDOMXX01,2035,52694.444444444445
GLOBAL,LDSDOMXX01,2036,52694.444444444445
GLOBAL,LDSDOMXX01,2037,52694.444444444445
GLOBAL,LDSDOMXX01,2038,52694.444444444445
GLOBAL,LDSDOMXX01,2039,52694.444444444445
GLOBAL,LDSDOMXX01,2040,52694.444444444445
GLOBAL,LDSDOMXX01,2041,52694.444444444445
GLOBAL,LDSDOMXX01,2042,52694.444444444445
GLOBAL,LDSDOMXX01,2043,52694.444444444445
GLOBAL,LDSDOMXX01,2044,52694.444444444445
GLOBAL,LDSDOMXX01,2045,52694.444444444445
GLOBAL,LDSDOMXX01,2046,52694.444444444445
GLOBAL,LDSDOMXX01,2047,52694.444444444445
GLOBAL,LDSDOMXX01,2048,52694.444444444445
GLOBAL,LDSDOMXX01,2049,52694.444444444445
GLOBAL,LDSDOMXX01,2050,52694.444444444445
GLOBAL,LDSECUXX01,2023,52694.444444444445
GLOBAL,LDSECUXX01,2024,52694.444444444445
GLOBAL,LDSECUXX01,2025,52694.444444444445
GLOBAL,LDSECUXX01,2026,52694.444444444445
GLOBAL,LDSECUXX01,2027,52694.444444444445
GLOBAL,LDSECUXX01,2028,52694.444444444445
GLOBAL,LDSECUXX01,2029,52694.444444444445
GLOBAL,LDSECUXX01,2030,52694.444444444445
GLOBAL,LDSECUXX01,2031,52694.444444444445
GLOBAL,LDSECUXX01,2032,52694.444444444445
GLOBAL,LDSECUXX01,2033,52694.444444444445
GLOBAL,LDSECUXX01,2034,52694.444444444445
GLOBAL,LDSECUXX01,2035,52694.444444444445
GLOBAL,LDSECUXX01,2036,52694.444444444445
GLOBAL,LDSECUXX01,2037,52694.444444444445
GLOBAL,LDSECUXX01,2038,52694.444444444445
GLOBAL,LDSECUXX01,2039,52694.444444444445
GLOBAL,LDSECUXX01,2040,52694.444444444445
GLOBAL,LDSECUXX01,2041,52694.444444444445
GLOBAL,LDSECUXX01,2042,52694.444444444445
GLOBAL,LDSECUXX01,2043,52694.444444444445
GLOBAL,LDSECUXX01,2044,52694.444444444445
GLOBAL,LDSECUXX01,2045,52694.444444444445
GLOBAL,LDSECUXX01,2046,52694.444444444445
GLOBAL,LDSECUXX01,2047,52694.444444444445
GLOBAL,LDSECUXX01,2048,52694.444444444445
GLOBAL,LDSECUXX01,2049,52694.444444444445
GLOBAL,LDSECUXX01,2050,52694.444444444445
