# THE SWAPPABLE INPUT of the dispatch-floor pipeline. write_floors.py,
# input_comparison_report and test_outputs.py read floors from THIS FILE
# ONLY. Floors the full fossil fleet (relac_io.nonren_floor_techs), on a
# residual+forced basis, 2027-2050 only (2023-2026 frozen). COMMITTED
# scenarios (OPT,VGB) use a flat plan-grounded/historical CF; PERMISSIVE
# scenarios (BAU,INV) start at the committed plan-grounded/historical CF
# and decline after HOLD_UNTIL=2030 to KEEP_WARM=0.05 by 2050. To change
# a CF: edit PLAN_GROUNDED / CF_BY_FUEL_FALLBACK
# in make_candidates.py and re-run it, then re-run write_floors.py.
Scenario,TECHNOLOGY,country,fuel,YEAR,fleet_GW,forced_GW,residual_GW,contracted_CF,cf_source,cf_quality,floor_PJ,profile,status,commissioning_year
BAU,PWRCOACHLXX,CHL,COA,2042,3.7953,0.0,3.7953,0.17,plan_grounded,proxy,20.3471,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2043,3.7953,0.0,3.7953,0.155,plan_grounded,proxy,18.5517,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2044,3.7953,0.0,3.7953,0.14,plan_grounded,proxy,16.7564,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2045,3.7953,0.0,3.7953,0.125,plan_grounded,proxy,14.9611,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2046,3.7953,0.0,3.7953,0.11,plan_grounded,proxy,13.1657,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2047,3.7953,0.0,3.7953,0.095,plan_grounded,proxy,11.3704,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2048,3.7953,0.0,3.7953,0.08,plan_grounded,proxy,9.5751,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2049,3.7953,0.0,3.7953,0.065,plan_grounded,proxy,7.7798,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACHLXX,CHL,COA,2050,3.7953,0.0,3.7953,0.05,plan_grounded,proxy,5.9844,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2027,1.6759,0.0,1.6759,0.28,plan_grounded,grounded,14.7983,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2028,1.6759,0.0,1.6759,0.28,plan_grounded,grounded,14.7983,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2029,1.6759,0.0,1.6759,0.28,plan_grounded,grounded,14.7983,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2030,1.6759,0.0,1.6759,0.28,plan_grounded,grounded,14.7983,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2031,1.6759,0.0,1.6759,0.2685,plan_grounded,grounded,14.1905,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2032,1.6759,0.0,1.6759,0.257,plan_grounded,grounded,13.5828,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2033,1.6759,0.0,1.6759,0.2455,plan_grounded,grounded,12.975,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2034,1.6759,0.0,1.6759,0.234,plan_grounded,grounded,12.3672,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2035,1.6759,0.0,1.6759,0.2225,plan_grounded,grounded,11.7594,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2036,1.6759,0.0,1.6759,0.211,plan_grounded,grounded,11.1516,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2037,1.6759,0.0,1.6759,0.1995,plan_grounded,grounded,10.5438,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2038,1.6759,0.0,1.6759,0.188,plan_grounded,grounded,9.936,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2039,1.6759,0.0,1.6759,0.1765,plan_grounded,grounded,9.3282,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2040,1.6759,0.0,1.6759,0.165,plan_grounded,grounded,8.7204,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2041,1.6759,0.0,1.6759,0.1535,plan_grounded,grounded,8.1127,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2042,1.6759,0.0,1.6759,0.142,plan_grounded,grounded,7.5049,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2043,1.6759,0.0,1.6759,0.1305,plan_grounded,grounded,6.8971,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2044,1.6759,0.0,1.6759,0.119,plan_grounded,grounded,6.2893,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2045,1.6759,0.0,1.6759,0.1075,plan_grounded,grounded,5.6815,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2046,1.6759,0.0,1.6759,0.096,plan_grounded,grounded,5.0737,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2047,1.6759,0.0,1.6759,0.0845,plan_grounded,grounded,4.4659,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2048,1.6759,0.0,1.6759,0.073,plan_grounded,grounded,3.8581,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2049,1.6759,0.0,1.6759,0.0615,plan_grounded,grounded,3.2503,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOACOLXX,COL,COA,2050,1.6759,0.0,1.6759,0.05,plan_grounded,grounded,2.6426,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2027,1.064,0.0,1.064,0.7,plan_grounded,grounded,23.488,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2028,1.064,0.0,1.064,0.7,plan_grounded,grounded,23.488,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2029,1.064,0.0,1.064,0.7,plan_grounded,grounded,23.488,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2030,1.064,0.0,1.064,0.7,plan_grounded,grounded,23.488,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2031,1.064,0.0,1.064,0.6675,plan_grounded,grounded,22.3975,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2032,1.064,0.0,1.064,0.635,plan_grounded,grounded,21.307,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2033,1.064,0.0,1.064,0.6025,plan_grounded,grounded,20.2165,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2034,1.064,0.0,1.064,0.57,plan_grounded,grounded,19.126,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2035,1.064,0.0,1.064,0.5375,plan_grounded,grounded,18.0354,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2036,1.064,0.0,1.064,0.505,plan_grounded,grounded,16.9449,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2037,1.064,0.0,1.064,0.4725,plan_grounded,grounded,15.8544,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2038,1.064,0.0,1.064,0.44,plan_grounded,grounded,14.7639,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2039,1.064,0.0,1.064,0.4075,plan_grounded,grounded,13.6734,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2040,1.064,0.0,1.064,0.375,plan_grounded,grounded,12.5829,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2041,1.064,0.0,1.064,0.3425,plan_grounded,grounded,11.4923,PERMISSIVE,CALIBRATED - pending PI sign-off,
