Model;Scenario1;Technology Tipo (grupos);Technology Tipo de Fuente;Años;Capital Investment;Fixed Cost;Total Capacity Annual;Variable Cost
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2044;;10463.241110782305;202.22301600687405;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2045;860.0;10483.241110782305;202.62301600687405;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2046;;10482.981110782304;202.61901600687403;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2047;;10482.981110782304;202.61901600687403;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2048;;10482.981110782304;202.61901600687403;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2049;;10482.981110782304;202.61901600687403;
SieLAC;NDC+ELC;Generación;Hidroeléctrica;2050;;10482.981110782304;202.61901600687403;
SieLAC;NDC+ELC;Generación;No Renovable;2023;;991.8840000000001;16.5314;
SieLAC;NDC+ELC;Generación;No Renovable;2024;;991.8840000000001;16.5314;
SieLAC;NDC+ELC;Generación;No Renovable;2025;;886.266;14.771099999999999;
SieLAC;NDC+ELC;Generación;No Renovable;2026;;864.966;14.416099999999998;
SieLAC;NDC+ELC;Generación;No Renovable;2027;;831.966;13.866100000000001;
SieLAC;NDC+ELC;Generación;No Renovable;2028;1410.4413420744124;766.9602309824331;12.782670516373884;
SieLAC;NDC+ELC;Generación;No Renovable;2029;;734.9202309824329;12.248670516373883;
SieLAC;NDC+ELC;Generación;No Renovable;2030;;712.7202309824331;11.878670516373882;
SieLAC;NDC+ELC;Generación;No Renovable;2031;;687.5682309824331;11.459470516373882;
SieLAC;NDC+ELC;Generación;No Renovable;2032;;684.868230982433;11.414470516373884;
SieLAC;NDC+ELC;Generación;No Renovable;2033;;684.868230982433;11.414470516373884;
SieLAC;NDC+ELC;Generación;No Renovable;2034;123.75934001806534;632.3012382845586;10.53835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2035;;632.3012382845586;10.53835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2036;;632.3012382845586;10.53835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2037;;632.3012382845586;10.53835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2038;;632.3012382845586;10.53835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2039;;631.1012382845586;10.51835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2040;;631.1012382845586;10.51835397140931;
