# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
OPT,GLOBAL,PWRNGSPANXX,2045,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2046,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2047,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2048,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2049,10.8484,new
OPT,GLOBAL,PWRNGSPANXX,2050,10.8484,new
OPT,GLOBAL,PWRNGSPERXX,2031,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2032,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2033,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2034,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2035,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2036,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2037,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2038,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2039,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2040,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2041,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2042,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2043,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2044,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2045,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2046,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2047,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2048,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2049,17.9755,new
OPT,GLOBAL,PWRNGSPERXX,2050,17.9755,new
OPT,GLOBAL,PWRNGSSLVXX,2030,1.2614,new
OPT,GLOBAL,PWRNGSSLVXX,2031,1.2614,new
